          // seed 111
0000 c000 lbi r0, 0 // icount 0
0002 c101 lbi r1, 1 // icount 1
0004 c2ff lbi r2, -1 // icount 2
0006 c40a lbi r4, 10 // icount 3
0008 20f4 j .rlabel_0 // icount 4
000a dc58 add r6, r4, r2 // icount 5
000c e234 seq r5, r2, r1 // icount 6
000e fd2c sco r3, r5, r1 // icount 7
0010 dcf6 xor r5, r4, r7 // icount 8
0012 ebe8 slt r2, r3, r7 // icount 9
0014 ede8 slt r2, r5, r7 // icount 10
0016 d745 sll r1, r7, r2 // icount 11
0018 d3e9 sll r2, r3, r7 // icount 12
001a dd2f andn r3, r5, r1 // icount 13
001c fe04 sco r1, r6, r0 // icount 14
001e d3ca ror r2, r3, r6 // icount 15
0020 dbfe xor r7, r3, r7 // icount 16
0022 d3c3 srl r0, r3, r6 // icount 17
0024 d0cb srl r2, r0, r6 // icount 18
0026 f1e8 sle r2, r1, r7 // icount 19
0028 dfb4 add r5, r7, r5 // icount 20
002a d3f5 sll r5, r3, r7 // icount 21
002c dd9e xor r7, r5, r4 // icount 22
002e f4a4 sle r1, r4, r5 // icount 23
0030 d96c add r3, r1, r3 // icount 24
0032 f160 sle r0, r1, r3 // icount 25
0034 dbea xor r2, r3, r7 // icount 26
0036 e6f0 seq r4, r6, r7 // icount 27
0038 f988 sco r2, r1, r4 // icount 28
003a e760 seq r0, r7, r3 // icount 29
003c df57 andn r5, r7, r2 // icount 30
003e e314 seq r5, r3, r0 // icount 31
0040 d121 sll r0, r1, r1 // icount 32
0042 eb38 slt r6, r3, r1 // icount 33
0044 edac slt r3, r5, r5 // icount 34
0046 e9a4 slt r1, r1, r5 // icount 35
0048 f300 sle r0, r3, r0 // icount 36
004a e1f4 seq r5, r1, r7 // icount 37
004c fb54 sco r5, r3, r2 // icount 38
004e d651 sll r4, r6, r2 // icount 39
0050 e544 seq r1, r5, r2 // icount 40
0052 de32 xor r4, r6, r1 // icount 41
0054 ed40 slt r0, r5, r2 // icount 42
0056 d1f3 srl r4, r1, r7 // icount 43
0058 dedf andn r7, r6, r6 // icount 44
005a e634 seq r5, r6, r1 // icount 45
005c d1c2 ror r0, r1, r6 // icount 46
005e e2e4 seq r1, r2, r7 // icount 47
0060 def4 add r5, r6, r7 // icount 48
0062 d85d sub r7, r0, r2 // icount 49
0064 dd74 add r5, r5, r3 // icount 50
0066 d449 sll r2, r4, r2 // icount 51
0068 d3a3 srl r0, r3, r5 // icount 52
006a d4b2 ror r4, r4, r5 // icount 53
006c d09b srl r6, r0, r4 // icount 54
006e d44b srl r2, r4, r2 // icount 55
0070 d563 srl r0, r5, r3 // icount 56
0072 f208 sle r2, r2, r0 // icount 57
0074 d791 sll r4, r7, r4 // icount 58
0076 d75c rol r7, r7, r2 // icount 59
0078 d25d sll r7, r2, r2 // icount 60
007a d2c4 rol r1, r2, r6 // icount 61
007c d19e ror r7, r1, r4 // icount 62
007e fb28 sco r2, r3, r1 // icount 63
0080 d52b srl r2, r5, r1 // icount 64
0082 e1e4 seq r1, r1, r7 // icount 65
0084 d7be ror r7, r7, r5 // icount 66
0086 f8d8 sco r6, r0, r6 // icount 67
0088 d657 srl r5, r6, r2 // icount 68
008a d5ce ror r3, r5, r6 // icount 69
008c ec38 slt r6, r4, r1 // icount 70
008e f2ac sle r3, r2, r5 // icount 71
0090 dbb5 sub r5, r3, r5 // icount 72
0092 d577 srl r5, r5, r3 // icount 73
0094 d97d sub r7, r1, r3 // icount 74
0096 d44a ror r2, r4, r2 // icount 75
0098 dd05 sub r1, r5, r0 // icount 76
009a ed74 slt r5, r5, r3 // icount 77
009c e844 slt r1, r0, r2 // icount 78
009e d8c4 add r1, r0, r6 // icount 79
00a0 d3f7 srl r5, r3, r7 // icount 80
00a2 de54 add r5, r6, r2 // icount 81
00a4 d7e4 rol r1, r7, r7 // icount 82
00a6 d6c3 srl r0, r6, r6 // icount 83
00a8 d6ba ror r6, r6, r5 // icount 84
00aa dd75 sub r5, r5, r3 // icount 85
00ac d3c3 srl r0, r3, r6 // icount 86
00ae f0a8 sle r2, r0, r5 // icount 87
00b0 d078 rol r6, r0, r3 // icount 88
00b2 e414 seq r5, r4, r0 // icount 89
00b4 e484 seq r1, r4, r4 // icount 90
00b6 e024 seq r1, r0, r1 // icount 91
00b8 d143 srl r0, r1, r2 // icount 92
00ba f31c sle r7, r3, r0 // icount 93
00bc e0d4 seq r5, r0, r6 // icount 94
00be d219 sll r6, r2, r0 // icount 95
00c0 dbc0 add r0, r3, r6 // icount 96
00c2 d468 rol r2, r4, r3 // icount 97
00c4 ee84 slt r1, r6, r4 // icount 98
00c6 fc9c sco r7, r4, r4 // icount 99
00c8 d540 rol r0, r5, r2 // icount 100
00ca da20 add r0, r2, r1 // icount 101
00cc dcfd sub r7, r4, r7 // icount 102
00ce d1a8 rol r2, r1, r5 // icount 103
00d0 daa0 add r0, r2, r5 // icount 104
00d2 f018 sle r6, r0, r0 // icount 105
00d4 ec74 slt r5, r4, r3 // icount 106
00d6 e5d8 seq r6, r5, r6 // icount 107
00d8 d0f8 rol r6, r0, r7 // icount 108
00da d2b8 rol r6, r2, r5 // icount 109
00dc ff5c sco r7, r7, r2 // icount 110
00de d795 sll r5, r7, r4 // icount 111
00e0 d675 sll r5, r6, r3 // icount 112
00e2 e374 seq r5, r3, r3 // icount 113
00e4 eea0 slt r0, r6, r5 // icount 114
00e6 f08c sle r3, r0, r4 // icount 115
00e8 db62 xor r0, r3, r3 // icount 116
00ea ddbf andn r7, r5, r5 // icount 117
00ec d5d9 sll r6, r5, r6 // icount 118
00ee f810 sco r4, r0, r0 // icount 119
00f0 f268 sle r2, r2, r3 // icount 120
00f2 fd90 sco r4, r5, r4 // icount 121
00f4 de06 xor r1, r6, r0 // icount 122
00f6 d036 ror r5, r0, r1 // icount 123
00f8 e7c4 seq r1, r7, r6 // icount 124
00fa f1d8 sle r6, r1, r6 // icount 125
00fc d3a5 sll r1, r3, r5 // icount 126
00fe      .rlabel_0:
00fe 610e bnez r1, .rlabel_1 // icount 127
0100 d491 sll r4, r4, r4 // icount 128
0102 d5a4 rol r1, r5, r5 // icount 129
0104 de15 sub r5, r6, r0 // icount 130
0106 d10c rol r3, r1, r0 // icount 131
0108 dfc0 add r0, r7, r6 // icount 132
010a dec5 sub r1, r6, r6 // icount 133
010c f6b8 sle r6, r6, r5 // icount 134
010e      .rlabel_1:
010e 20a2 j .rlabel_2 // icount 135
0110 dfd1 sub r4, r7, r6 // icount 136
0112 def9 sub r6, r6, r7 // icount 137
0114 d83a xor r6, r0, r1 // icount 138
0116 df59 sub r6, r7, r2 // icount 139
0118 d1f8 rol r6, r1, r7 // icount 140
011a dc89 sub r2, r4, r4 // icount 141
011c d296 ror r5, r2, r4 // icount 142
011e f110 sle r4, r1, r0 // icount 143
0120 db39 sub r6, r3, r1 // icount 144
0122 f2f4 sle r5, r2, r7 // icount 145
0124 f618 sle r6, r6, r0 // icount 146
0126 d8a9 sub r2, r0, r5 // icount 147
0128 dcef andn r3, r4, r7 // icount 148
012a fb58 sco r6, r3, r2 // icount 149
012c d958 add r6, r1, r2 // icount 150
012e d4dd sll r7, r4, r6 // icount 151
0130 dbd5 sub r5, r3, r6 // icount 152
0132 d619 sll r6, r6, r0 // icount 153
0134 d53f srl r7, r5, r1 // icount 154
0136 dded sub r3, r5, r7 // icount 155
0138 e7d4 seq r5, r7, r6 // icount 156
013a d889 sub r2, r0, r4 // icount 157
013c d506 ror r1, r5, r0 // icount 158
013e df64 add r1, r7, r3 // icount 159
0140 d930 add r4, r1, r1 // icount 160
0142 e014 seq r5, r0, r0 // icount 161
0144 d9e4 add r1, r1, r7 // icount 162
0146 df96 xor r5, r7, r4 // icount 163
0148 dfe8 add r2, r7, r7 // icount 164
014a f60c sle r3, r6, r0 // icount 165
014c da7b andn r6, r2, r3 // icount 166
014e d5e5 sll r1, r5, r7 // icount 167
0150 d1df srl r7, r1, r6 // icount 168
0152 f4d8 sle r6, r4, r6 // icount 169
0154 e8b8 slt r6, r0, r5 // icount 170
0156 e55c seq r7, r5, r2 // icount 171
0158 daaa xor r2, r2, r5 // icount 172
015a dc9e xor r7, r4, r4 // icount 173
015c d880 add r0, r0, r4 // icount 174
015e d361 sll r0, r3, r3 // icount 175
0160 f24c sle r3, r2, r2 // icount 176
0162 ded6 xor r5, r6, r6 // icount 177
0164 d631 sll r4, r6, r1 // icount 178
0166 d4f4 rol r5, r4, r7 // icount 179
0168 dd5e xor r7, r5, r2 // icount 180
016a e28c seq r3, r2, r4 // icount 181
016c de3f andn r7, r6, r1 // icount 182
016e d0fa ror r6, r0, r7 // icount 183
0170 d258 rol r6, r2, r2 // icount 184
0172 d941 sub r0, r1, r2 // icount 185
0174 d88d sub r3, r0, r4 // icount 186
0176 fb7c sco r7, r3, r3 // icount 187
0178 d9eb andn r2, r1, r7 // icount 188
017a d742 ror r0, r7, r2 // icount 189
017c d473 srl r4, r4, r3 // icount 190
017e fbd8 sco r6, r3, r6 // icount 191
0180 df9c add r7, r7, r4 // icount 192
0182 eec8 slt r2, r6, r6 // icount 193
0184 dd2a xor r2, r5, r1 // icount 194
0186 df0a xor r2, r7, r0 // icount 195
0188 d201 sll r0, r2, r0 // icount 196
018a d39a ror r6, r3, r4 // icount 197
018c def9 sub r6, r6, r7 // icount 198
018e d202 ror r0, r2, r0 // icount 199
0190 d46f srl r3, r4, r3 // icount 200
0192 daae xor r3, r2, r5 // icount 201
0194 eac4 slt r1, r2, r6 // icount 202
0196 e6cc seq r3, r6, r6 // icount 203
0198 d8d9 sub r6, r0, r6 // icount 204
019a d143 srl r0, r1, r2 // icount 205
019c dfc2 xor r0, r7, r6 // icount 206
019e dc1f andn r7, r4, r0 // icount 207
01a0 fba8 sco r2, r3, r5 // icount 208
01a2 da48 add r2, r2, r2 // icount 209
01a4 dd65 sub r1, r5, r3 // icount 210
01a6 d313 srl r4, r3, r0 // icount 211
01a8 fc34 sco r5, r4, r1 // icount 212
01aa d0f7 srl r5, r0, r7 // icount 213
01ac da3b andn r6, r2, r1 // icount 214
01ae dbd1 sub r4, r3, r6 // icount 215
01b0 ef74 slt r5, r7, r3 // icount 216
01b2      .rlabel_2:
01b2 6118 bnez r1, .rlabel_3 // icount 217
01b4 f694 sle r5, r6, r4 // icount 218
01b6 fe48 sco r2, r6, r2 // icount 219
01b8 d213 srl r4, r2, r0 // icount 220
01ba f0fc sle r7, r0, r7 // icount 221
01bc db65 sub r1, r3, r3 // icount 222
01be fd14 sco r5, r5, r0 // icount 223
01c0 dd12 xor r4, r5, r0 // icount 224
01c2 fa3c sco r7, r2, r1 // icount 225
01c4 deab andn r2, r6, r5 // icount 226
01c6 e868 slt r2, r0, r3 // icount 227
01c8 d592 ror r4, r5, r4 // icount 228
01ca e6c4 seq r1, r6, r6 // icount 229
01cc      .rlabel_3:
01cc 681e beqz r0, .rlabel_4 // icount 230
01ce dd28 add r2, r5, r1 // icount 231
01d0 e1bc seq r7, r1, r5 // icount 232
01d2 eed4 slt r5, r6, r6 // icount 233
01d4 d77c rol r7, r7, r3 // icount 234
01d6 d303 srl r0, r3, r0 // icount 235
01d8 e5f0 seq r4, r5, r7 // icount 236
01da fda4 sco r1, r5, r5 // icount 237
01dc e6cc seq r3, r6, r6 // icount 238
01de dcc4 add r1, r4, r6 // icount 239
01e0 d9bf andn r7, r1, r5 // icount 240
01e2 dfe8 add r2, r7, r7 // icount 241
01e4 fad8 sco r6, r2, r6 // icount 242
01e6 d8fa xor r6, r0, r7 // icount 243
01e8 d9cb andn r2, r1, r6 // icount 244
01ea d11b srl r6, r1, r0 // icount 245
01ec      .rlabel_4:
01ec 20e0 j .rlabel_5 // icount 246
01ee eb88 slt r2, r3, r4 // icount 247
01f0 d37e ror r7, r3, r3 // icount 248
01f2 df5e xor r7, r7, r2 // icount 249
01f4 dc3e xor r7, r4, r1 // icount 250
01f6 d580 rol r0, r5, r4 // icount 251
01f8 d997 andn r5, r1, r4 // icount 252
01fa ee48 slt r2, r6, r2 // icount 253
01fc dffc add r7, r7, r7 // icount 254
01fe d077 srl r5, r0, r3 // icount 255
0200 e794 seq r5, r7, r4 // icount 256
0202 db42 xor r0, r3, r2 // icount 257
0204 ea4c slt r3, r2, r2 // icount 258
0206 f190 sle r4, r1, r4 // icount 259
0208 d476 ror r5, r4, r3 // icount 260
020a d579 sll r6, r5, r3 // icount 261
020c fda0 sco r0, r5, r5 // icount 262
020e d77e ror r7, r7, r3 // icount 263
0210 ff04 sco r1, r7, r0 // icount 264
0212 d9ee xor r3, r1, r7 // icount 265
0214 d035 sll r5, r0, r1 // icount 266
0216 d30d sll r3, r3, r0 // icount 267
0218 d489 sll r2, r4, r4 // icount 268
021a f3f0 sle r4, r3, r7 // icount 269
021c d9e9 sub r2, r1, r7 // icount 270
021e d5b5 sll r5, r5, r5 // icount 271
0220 fc4c sco r3, r4, r2 // icount 272
0222 d007 srl r1, r0, r0 // icount 273
0224 d18a ror r2, r1, r4 // icount 274
0226 dbd0 add r4, r3, r6 // icount 275
0228 da1d sub r7, r2, r0 // icount 276
022a fd24 sco r1, r5, r1 // icount 277
022c ffbc sco r7, r7, r5 // icount 278
022e e334 seq r5, r3, r1 // icount 279
0230 dca2 xor r0, r4, r5 // icount 280
0232 dfa4 add r1, r7, r5 // icount 281
0234 f3dc sle r7, r3, r6 // icount 282
0236 eac0 slt r0, r2, r6 // icount 283
0238 ea78 slt r6, r2, r3 // icount 284
023a d479 sll r6, r4, r3 // icount 285
023c dacf andn r3, r2, r6 // icount 286
023e f7e0 sle r0, r7, r7 // icount 287
0240 d724 rol r1, r7, r1 // icount 288
0242 d890 add r4, r0, r4 // icount 289
0244 d7ed sll r3, r7, r7 // icount 290
0246 d83f andn r7, r0, r1 // icount 291
